Log saved to: /home/pi/2021-11-03_14h00m01s.log
Device manager connected to 192.168.1.10
Camera time set to: 2021-11-03 14:00:01
Device manager disconnected
Path to clean from old video files: /home/pi
2021-11-03 14:00:03.765 Open video input: rtsp://admin:@192.168.1.10
2021-11-03 14:00:04.766 Send SIGUSR1 to PID 4656 to terminate video processing
2021-11-03 14:00:09.291 Queue of size: 50 discharged at 6.32 sec
2021-11-03 14:03:41.488 START MOTION ---------
2021-11-03 14:03:43.370 STOP MOTION ----------
2021-11-03 14:10:03.704 START MOTION ---------
2021-11-03 14:10:16.343 STOP MOTION ----------
2021-11-03 14:11:21.336 START MOTION ---------
2021-11-03 14:11:28.532 STOP MOTION ----------
2021-11-03 14:12:10.383 START MOTION ---------
2021-11-03 14:12:19.804 STOP MOTION ----------
2021-11-03 14:22:28.314 START MOTION ---------
2021-11-03 14:22:30.236 STOP MOTION ----------
2021-11-03 14:24:17.757 START MOTION ---------
2021-11-03 14:24:29.573 STOP MOTION ----------
2021-11-03 14:26:33.720 START MOTION ---------
2021-11-03 14:26:56.318 STOP MOTION ----------
2021-11-03 14:28:56.503 START MOTION ---------
2021-11-03 14:29:24.754 STOP MOTION ----------
2021-11-03 14:29:27.485 START MOTION ---------
2021-11-03 14:29:50.282 STOP MOTION ----------
2021-11-03 14:35:05.338 START MOTION ---------
2021-11-03 14:35:11.160 STOP MOTION ----------
2021-11-03 14:43:55.665 START MOTION ---------
2021-11-03 14:44:01.28 STOP MOTION ----------
2021-11-03 14:45:56.449 START MOTION ---------
2021-11-03 14:46:03.330 STOP MOTION ----------
2021-11-03 14:50:06.356 START MOTION ---------
2021-11-03 14:50:11.265 STOP MOTION ----------
2021-11-03 14:53:47.470 START MOTION ---------
2021-11-03 14:53:57.945 STOP MOTION ----------
2021-11-03 14:54:56.528 START MOTION ---------
2021-11-03 14:55:07.171 STOP MOTION ----------
2021-11-03 14:55:12.341 START MOTION ---------
2021-11-03 14:55:14.409 STOP MOTION ----------
2021-11-03 14:55:27.561 START MOTION ---------
2021-11-03 14:55:30.456 STOP MOTION ----------
2021-11-03 14:55:54.936 START MOTION ---------
2021-11-03 14:56:20.994 STOP MOTION ----------
2021-11-03 14:57:15.129 START MOTION ---------
2021-11-03 14:57:29.928 STOP MOTION ----------
2021-11-03 14:57:34.278 START MOTION ---------
2021-11-03 14:57:37.468 STOP MOTION ----------
2021-11-03 14:57:42.440 START MOTION ---------
2021-11-03 14:57:52.469 STOP MOTION ----------
2021-11-03 14:57:55.264 START MOTION ---------
2021-11-03 14:58:00.575 STOP MOTION ----------
2021-11-03 14:58:45.848 START MOTION ---------
2021-11-03 14:58:51.863 STOP MOTION ----------
2021-11-03 14:59:11.462 START MOTION ---------
2021-11-03 14:59:14.291 STOP MOTION ----------
2021-11-03 14:59:16.223 START MOTION ---------
2021-11-03 14:59:40.947 STOP MOTION ----------
2021-11-03 14:59:56.284 START MOTION ---------
2021-11-03 15:00:00.876 STOP MOTION ----------
2021-11-03 15:00:09.365 START MOTION ---------
2021-11-03 15:00:13.106 STOP MOTION ----------
2021-11-03 15:00:19.285 START MOTION ---------
2021-11-03 15:00:23.331 STOP MOTION ----------
2021-11-03 15:00:26.242 START MOTION ---------
2021-11-03 15:00:28.424 STOP MOTION ----------
2021-11-03 15:00:51.372 START MOTION ---------
2021-11-03 15:00:56.39 STOP MOTION ----------
2021-11-03 15:01:03.125 START MOTION ---------
2021-11-03 15:01:15.954 STOP MOTION ----------
2021-11-03 15:16:34.274 START MOTION ---------
2021-11-03 15:17:06.293 STOP MOTION ----------
2021-11-03 15:18:26.13 START MOTION ---------
2021-11-03 15:18:33.375 STOP MOTION ----------
2021-11-03 15:19:23.791 START MOTION ---------
2021-11-03 15:19:51.187 STOP MOTION ----------
2021-11-03 15:19:57.363 START MOTION ---------
2021-11-03 15:20:06.278 STOP MOTION ----------
2021-11-03 15:21:04.251 START MOTION ---------
2021-11-03 15:21:20.454 STOP MOTION ----------
2021-11-03 15:34:49.333 START MOTION ---------
2021-11-03 15:34:51.983 STOP MOTION ----------
2021-11-03 15:38:50.162 START MOTION ---------
2021-11-03 15:39:07.299 STOP MOTION ----------
2021-11-03 15:39:10.19 START MOTION ---------
2021-11-03 15:39:16.985 STOP MOTION ----------
2021-11-03 15:39:19.181 START MOTION ---------
2021-11-03 15:39:50.247 STOP MOTION ----------
2021-11-03 15:40:29.747 START MOTION ---------
2021-11-03 15:40:44.965 STOP MOTION ----------
2021-11-03 15:42:44.25 START MOTION ---------
2021-11-03 15:42:46.106 STOP MOTION ----------
2021-11-03 16:06:58.853 START MOTION ---------
2021-11-03 16:07:17.531 STOP MOTION ----------
2021-11-03 16:09:47.599 START MOTION ---------
2021-11-03 16:09:49.679 STOP MOTION ----------
2021-11-03 16:12:35.490 START MOTION ---------
2021-11-03 16:12:50.788 STOP MOTION ----------
2021-11-03 16:18:43.279 START MOTION ---------
2021-11-03 16:18:45.281 STOP MOTION ----------
2021-11-03 16:30:45.257 START MOTION ---------
2021-11-03 16:31:27.814 STOP MOTION ----------
2021-11-03 16:31:46.469 START MOTION ---------
2021-11-03 16:32:03.667 STOP MOTION ----------
2021-11-03 16:37:07.634 START MOTION ---------
2021-11-03 16:37:10.523 STOP MOTION ----------
2021-11-03 16:39:25.323 START MOTION ---------
2021-11-03 16:39:36.242 STOP MOTION ----------
2021-11-03 16:40:41.130 START MOTION ---------
2021-11-03 16:40:46.350 STOP MOTION ----------
2021-11-03 16:41:04.546 START MOTION ---------
2021-11-03 16:41:34.502 STOP MOTION ----------
2021-11-03 16:42:07.107 START MOTION ---------
2021-11-03 16:42:14.257 STOP MOTION ----------
2021-11-03 16:42:30.233 START MOTION ---------
2021-11-03 16:42:37.412 STOP MOTION ----------
2021-11-03 16:42:56.625 START MOTION ---------
2021-11-03 16:43:03.490 STOP MOTION ----------
2021-11-03 16:43:09.461 START MOTION ---------
2021-11-03 16:43:23.205 STOP MOTION ----------
2021-11-03 16:43:28.575 START MOTION ---------
2021-11-03 16:43:37.585 STOP MOTION ----------
2021-11-03 16:44:03.458 START MOTION ---------
2021-11-03 16:44:09.668 STOP MOTION ----------
2021-11-03 16:45:11.470 START MOTION ---------
2021-11-03 16:45:18.306 STOP MOTION ----------
2021-11-03 16:45:27.201 START MOTION ---------
2021-11-03 16:45:34.186 STOP MOTION ----------
2021-11-03 16:47:06.15 START MOTION ---------
