Log saved to: /home/pi/2021-11-04_14h00m06s.log
Device manager connected to 192.168.1.10
Camera time set to: 2021-11-04 14:00:06
Device manager disconnected
Path to clean from old video files: /home/pi
2021-11-04 21:34:31.831 STOP MOTION ----------
2021-11-04 21:46:28.527 START MOTION ---------
2021-11-04 21:46:33.324 STOP MOTION ----------
2021-11-04 22:18:12.241 START MOTION ---------
2021-11-04 22:18:34.234 STOP MOTION ----------
2021-11-04 22:45:32.392 START MOTION ---------
2021-11-04 22:46:05.507 STOP MOTION ----------
2021-11-04 22:46:13.435 START MOTION ---------
2021-11-04 22:46:54.320 STOP MOTION ----------
2021-11-04 22:52:13.860 START MOTION ---------
2021-11-04 22:52:31.766 STOP MOTION ----------
2021-11-05 03:57:05.289 START MOTION ---------
2021-11-05 03:57:14.321 STOP MOTION ----------
2021-11-05 05:44:06.697 START MOTION ---------
2021-11-05 05:44:17.104 STOP MOTION ----------
2021-11-05 06:00:47.114 START MOTION ---------
2021-11-05 06:00:54.464 STOP MOTION ----------
2021-11-05 07:01:59.283 START MOTION ---------
2021-11-05 07:02:03.42 STOP MOTION ----------
2021-11-05 07:06:46.291 START MOTION ---------
2021-11-05 07:06:53.100 STOP MOTION ----------
2021-11-05 07:07:24.69 START MOTION ---------
2021-11-05 07:07:30.613 STOP MOTION ----------
2021-11-05 07:13:54.64 START MOTION ---------
2021-11-05 07:13:55.892 STOP MOTION ----------
2021-11-05 07:24:22.960 START MOTION ---------
2021-11-05 07:24:24.929 STOP MOTION ----------
2021-11-05 07:47:57.476 START MOTION ---------
2021-11-05 07:48:02.662 STOP MOTION ----------
2021-11-05 07:48:15.285 START MOTION ---------
2021-11-05 07:48:18.781 STOP MOTION ----------
2021-11-05 07:48:31.349 START MOTION ---------
2021-11-05 07:48:34.739 STOP MOTION ----------
2021-11-05 07:48:47.349 START MOTION ---------
2021-11-05 07:48:51.666 STOP MOTION ----------
2021-11-05 08:02:22.507 START MOTION ---------
2021-11-05 08:02:28.454 STOP MOTION ----------
2021-11-05 08:04:18.607 START MOTION ---------
2021-11-05 08:04:28.318 STOP MOTION ----------
2021-11-05 08:09:58.325 START MOTION ---------
2021-11-05 08:10:06.200 STOP MOTION ----------
2021-11-05 08:11:18.350 START MOTION ---------
2021-11-05 08:12:13.567 STOP MOTION ----------
2021-11-05 08:13:52.569 START MOTION ---------
2021-11-05 08:14:04.204 STOP MOTION ----------
2021-11-05 08:16:00.521 START MOTION ---------
2021-11-05 08:16:04.630 STOP MOTION ----------
2021-11-05 08:19:06.516 START MOTION ---------
2021-11-05 08:19:08.388 STOP MOTION ----------
2021-11-05 08:30:55.44 START MOTION ---------
2021-11-05 08:31:01.282 STOP MOTION ----------
2021-11-05 08:31:45.848 START MOTION ---------
2021-11-05 08:31:51.842 STOP MOTION ----------
2021-11-05 08:32:57.487 START MOTION ---------
2021-11-05 08:33:03.266 STOP MOTION ----------
2021-11-05 08:44:53.164 START MOTION ---------
2021-11-05 08:44:55.204 STOP MOTION ----------
2021-11-05 08:46:46.200 START MOTION ---------
2021-11-05 08:46:53.226 STOP MOTION ----------
2021-11-05 08:47:33.284 START MOTION ---------
2021-11-05 08:47:37.762 STOP MOTION ----------
2021-11-05 08:49:42.4 START MOTION ---------
2021-11-05 08:49:44.971 STOP MOTION ----------
2021-11-05 08:55:55.878 START MOTION ---------
2021-11-05 08:56:44.941 STOP MOTION ----------
2021-11-05 08:58:12.929 START MOTION ---------
2021-11-05 08:58:16.5 STOP MOTION ----------
2021-11-05 09:01:41.616 START MOTION ---------
2021-11-05 09:01:43.205 STOP MOTION ----------
2021-11-05 09:03:32.999 START MOTION ---------
2021-11-05 09:03:39.78 STOP MOTION ----------
2021-11-05 09:03:45.233 START MOTION ---------
2021-11-05 09:03:55.605 STOP MOTION ----------
2021-11-05 09:24:08.902 START MOTION ---------
2021-11-05 09:24:11.83 STOP MOTION ----------
2021-11-05 09:24:56.658 START MOTION ---------
2021-11-05 09:24:58.934 STOP MOTION ----------
2021-11-05 09:34:47.914 START MOTION ---------
2021-11-05 09:34:49.847 STOP MOTION ----------
2021-11-05 09:46:41.896 START MOTION ---------
2021-11-05 09:46:46.376 STOP MOTION ----------
2021-11-05 09:53:42.285 START MOTION ---------
2021-11-05 09:53:46.587 STOP MOTION ----------
2021-11-05 09:59:01.818 START MOTION ---------
2021-11-05 09:59:03.594 STOP MOTION ----------
2021-11-05 10:19:04.464 START MOTION ---------
2021-11-05 10:19:07.987 STOP MOTION ----------
2021-11-05 10:25:28.566 START MOTION ---------
2021-11-05 10:25:33.914 STOP MOTION ----------
2021-11-05 10:50:57.276 START MOTION ---------
2021-11-05 10:51:13.791 STOP MOTION ----------
2021-11-05 10:51:16.719 START MOTION ---------
2021-11-05 10:51:21.790 STOP MOTION ----------
2021-11-05 10:51:42.409 START MOTION ---------
2021-11-05 10:51:44.157 STOP MOTION ----------
2021-11-05 10:51:47.158 START MOTION ---------
2021-11-05 10:52:03.75 STOP MOTION ----------
2021-11-05 10:55:48.374 START MOTION ---------
2021-11-05 10:56:08.918 STOP MOTION ----------
2021-11-05 10:56:38.60 START MOTION ---------
2021-11-05 10:56:41.940 STOP MOTION ----------
2021-11-05 10:56:53.101 START MOTION ---------
2021-11-05 10:57:02.884 STOP MOTION ----------
2021-11-05 10:57:25.984 START MOTION ---------
2021-11-05 10:57:28.319 STOP MOTION ----------
2021-11-05 11:12:08.80 START MOTION ---------
2021-11-05 11:12:09.979 STOP MOTION ----------
2021-11-05 11:12:20.11 START MOTION ---------
2021-11-05 11:12:22.35 STOP MOTION ----------
2021-11-05 11:14:31.936 START MOTION ---------
2021-11-05 11:14:39.896 STOP MOTION ----------
2021-11-05 11:16:59.12 START MOTION ---------
2021-11-05 11:17:00.993 STOP MOTION ----------
2021-11-05 11:17:18.951 START MOTION ---------
2021-11-05 11:17:21.30 STOP MOTION ----------
2021-11-05 11:18:43.660 START MOTION ---------
2021-11-05 11:18:51.671 STOP MOTION ----------
2021-11-05 11:18:58.935 START MOTION ---------
2021-11-05 11:19:26.899 STOP MOTION ----------
2021-11-05 11:19:50.575 START MOTION ---------
2021-11-05 11:20:07.845 STOP MOTION ----------
2021-11-05 11:21:08.51 START MOTION ---------
2021-11-05 11:21:09.916 STOP MOTION ----------
2021-11-05 11:25:50.597 START MOTION ---------
2021-11-05 11:26:00.843 STOP MOTION ----------
2021-11-05 11:28:21.29 START MOTION ---------
2021-11-05 11:28:53.458 STOP MOTION ----------
2021-11-05 11:31:07.62 START MOTION ---------
2021-11-05 11:31:12.625 STOP MOTION ----------
2021-11-05 11:31:30.910 START MOTION ---------
2021-11-05 11:31:39.781 STOP MOTION ----------
2021-11-05 11:32:12.92 START MOTION ---------
2021-11-05 11:32:16.736 STOP MOTION ----------
2021-11-05 11:32:30.988 START MOTION ---------
2021-11-05 11:32:33.613 STOP MOTION ----------
2021-11-05 11:33:32.85 START MOTION ---------
2021-11-05 11:33:42.900 STOP MOTION ----------
2021-11-05 11:34:48.887 START MOTION ---------
2021-11-05 11:34:55.762 STOP MOTION ----------
2021-11-05 11:35:16.401 START MOTION ---------
