Log saved to: /home/pi/2021-11-08_03h00m06s.log
Device manager connected to 192.168.1.10
Camera time set to: 2021-11-08 03:00:06
Device manager disconnected
Path to clean from old video files: /home/pi
Remove /home/pi/2021-10-31_14h42m05s.mp4
Remove /home/pi/2021-10-31_14h59m58s.mp4
2021-11-08 03:00:09.727 Open video input: rtsp://admin:@192.168.1.10
2021-11-08 03:00:10.728 Send SIGUSR1 to PID 9817 to terminate video processing
2021-11-08 03:00:12.268 Queue of size: 35 discharged at 3.99996 sec
2021-11-08 03:00:32.730 START MOTION ---------
2021-11-08 03:01:35.919 STOP MOTION ----------
2021-11-08 04:10:47.841 START MOTION ---------
2021-11-08 04:10:58.3 STOP MOTION ----------
2021-11-08 05:34:13.238 START MOTION ---------
2021-11-08 05:35:13.316 STOP MOTION ----------
2021-11-08 05:45:37.463 START MOTION ---------
2021-11-08 05:45:44.492 STOP MOTION ----------
2021-11-08 06:55:49.553 START MOTION ---------
2021-11-08 06:56:14.589 STOP MOTION ----------
2021-11-08 06:56:22.126 START MOTION ---------
2021-11-08 06:56:39.702 STOP MOTION ----------
2021-11-08 07:00:03.521 START MOTION ---------
2021-11-08 07:00:09.190 STOP MOTION ----------
2021-11-08 07:00:46.92 START MOTION ---------
2021-11-08 07:00:52.315 STOP MOTION ----------
2021-11-08 07:01:37.117 START MOTION ---------
2021-11-08 07:01:43.664 STOP MOTION ----------
2021-11-08 07:06:39.964 START MOTION ---------
2021-11-08 07:06:44.5 STOP MOTION ----------
2021-11-08 07:11:40.446 START MOTION ---------
2021-11-08 07:11:49.294 STOP MOTION ----------
2021-11-08 07:14:24.513 START MOTION ---------
2021-11-08 07:14:35.640 STOP MOTION ----------
2021-11-08 07:15:40.769 START MOTION ---------
2021-11-08 07:15:58.768 STOP MOTION ----------
2021-11-08 07:18:09.631 START MOTION ---------
2021-11-08 07:18:21.706 STOP MOTION ----------
2021-11-08 07:18:36.442 START MOTION ---------
2021-11-08 07:18:41.934 STOP MOTION ----------
2021-11-08 07:19:01.801 START MOTION ---------
2021-11-08 07:19:25.717 STOP MOTION ----------
2021-11-08 07:23:57.556 START MOTION ---------
2021-11-08 07:24:06.624 STOP MOTION ----------
2021-11-08 07:25:45.578 START MOTION ---------
2021-11-08 07:25:53.557 STOP MOTION ----------
2021-11-08 07:33:34.661 START MOTION ---------
2021-11-08 07:33:38.706 STOP MOTION ----------
2021-11-08 07:36:38.390 START MOTION ---------
2021-11-08 07:36:44.891 STOP MOTION ----------
2021-11-08 07:38:09.849 START MOTION ---------
2021-11-08 07:38:13.644 STOP MOTION ----------
2021-11-08 07:39:01.329 START MOTION ---------
2021-11-08 07:39:03.577 STOP MOTION ----------
2021-11-08 07:39:07.678 START MOTION ---------
2021-11-08 07:39:16.834 STOP MOTION ----------
2021-11-08 07:42:32.843 START MOTION ---------
2021-11-08 07:42:48.652 STOP MOTION ----------
2021-11-08 07:42:53.628 START MOTION ---------
2021-11-08 07:43:13.228 STOP MOTION ----------
2021-11-08 07:59:16.595 START MOTION ---------
2021-11-08 07:59:24.54 STOP MOTION ----------
2021-11-08 08:00:10.102 START MOTION ---------
2021-11-08 08:00:12.575 STOP MOTION ----------
2021-11-08 08:07:30.127 START MOTION ---------
2021-11-08 08:07:41.87 STOP MOTION ----------
2021-11-08 08:08:20.217 START MOTION ---------
2021-11-08 08:08:27.428 STOP MOTION ----------
2021-11-08 08:14:23.44 START MOTION ---------
2021-11-08 08:14:27.205 STOP MOTION ----------
2021-11-08 08:26:25.102 START MOTION ---------
2021-11-08 08:26:30.347 STOP MOTION ----------
2021-11-08 08:33:06.238 START MOTION ---------
2021-11-08 08:33:11.203 STOP MOTION ----------
2021-11-08 08:38:41.133 START MOTION ---------
2021-11-08 08:38:52.107 STOP MOTION ----------
2021-11-08 08:49:08.704 START MOTION ---------
2021-11-08 08:49:13.149 STOP MOTION ----------
2021-11-08 08:51:41.629 START MOTION ---------
2021-11-08 08:51:44.913 STOP MOTION ----------
2021-11-08 08:54:36.807 START MOTION ---------
2021-11-08 08:54:50.196 STOP MOTION ----------
2021-11-08 09:08:34.801 START MOTION ---------
2021-11-08 09:08:41.74 STOP MOTION ----------
2021-11-08 09:10:17.598 START MOTION ---------
2021-11-08 09:10:21.824 STOP MOTION ----------
2021-11-08 09:17:46.729 START MOTION ---------
2021-11-08 09:17:59.892 STOP MOTION ----------
2021-11-08 09:46:29.367 START MOTION ---------
2021-11-08 09:46:43.431 STOP MOTION ----------
2021-11-08 09:50:22.350 START MOTION ---------
2021-11-08 09:50:33.34 STOP MOTION ----------
2021-11-08 09:57:10.73 START MOTION ---------
2021-11-08 09:57:13.446 STOP MOTION ----------
2021-11-08 09:57:25.404 START MOTION ---------
2021-11-08 09:57:40.635 STOP MOTION ----------
2021-11-08 09:58:00.627 START MOTION ---------
2021-11-08 09:58:03.169 STOP MOTION ----------
2021-11-08 09:58:06.129 START MOTION ---------
2021-11-08 09:58:19.376 STOP MOTION ----------
2021-11-08 09:58:23.156 START MOTION ---------
2021-11-08 09:58:33.483 STOP MOTION ----------
2021-11-08 09:59:00.591 START MOTION ---------
2021-11-08 09:59:07.43 STOP MOTION ----------
2021-11-08 09:59:25.134 START MOTION ---------
2021-11-08 09:59:42.404 STOP MOTION ----------
2021-11-08 10:01:37.336 START MOTION ---------
2021-11-08 10:01:42.172 STOP MOTION ----------
2021-11-08 10:03:38.162 START MOTION ---------
2021-11-08 10:03:44.583 STOP MOTION ----------
2021-11-08 10:06:05.351 START MOTION ---------
2021-11-08 10:06:08.205 STOP MOTION ----------
2021-11-08 10:23:33.735 START MOTION ---------
2021-11-08 10:23:37.125 STOP MOTION ----------
2021-11-08 10:23:42.58 START MOTION ---------
2021-11-08 10:23:52.173 STOP MOTION ----------
2021-11-08 10:31:36.292 START MOTION ---------
2021-11-08 10:31:41.822 STOP MOTION ----------
2021-11-08 10:47:14.753 START MOTION ---------
2021-11-08 10:47:51.994 STOP MOTION ----------
2021-11-08 10:48:46.178 START MOTION ---------
2021-11-08 10:48:49.174 STOP MOTION ----------
2021-11-08 10:49:01.26 START MOTION ---------
2021-11-08 10:49:07.135 STOP MOTION ----------
2021-11-08 10:49:18.185 START MOTION ---------
2021-11-08 10:49:22.184 STOP MOTION ----------
2021-11-08 11:06:35.672 START MOTION ---------
2021-11-08 11:06:40.716 STOP MOTION ----------
2021-11-08 11:30:45.379 START MOTION ---------
2021-11-08 11:30:47.722 STOP MOTION ----------
