Log saved to: /home/pi/2021-11-05_14h00m06s.log
Device manager connected to 192.168.1.10
Camera time set to: 2021-11-05 14:00:07
Device manager disconnected
Path to clean from old video files: /home/pi
2021-11-05 14:00:08.971 Open video input: rtsp://admin:@192.168.1.10
2021-11-05 14:00:09.972 Send SIGUSR1 to PID 14473 to terminate video processing
2021-11-05 14:00:15.633 Queue of size: 50 discharged at 7.48 sec
2021-11-05 14:06:01.120 START MOTION ---------
2021-11-05 14:06:05.72 STOP MOTION ----------
2021-11-05 14:08:40.834 START MOTION ---------
2021-11-05 14:08:43.928 STOP MOTION ----------
2021-11-05 14:14:16.769 START MOTION ---------
2021-11-05 14:14:19.774 STOP MOTION ----------
2021-11-05 14:14:21.974 START MOTION ---------
2021-11-05 14:14:32.823 STOP MOTION ----------
2021-11-05 14:17:19.708 START MOTION ---------
2021-11-05 14:17:24.729 STOP MOTION ----------
2021-11-05 14:19:23.328 START MOTION ---------
2021-11-05 14:19:35.325 STOP MOTION ----------
2021-11-05 14:20:14.872 START MOTION ---------
2021-11-05 14:20:18.493 STOP MOTION ----------
2021-11-05 14:32:22.311 START MOTION ---------
2021-11-05 14:32:24.745 STOP MOTION ----------
2021-11-05 14:41:08.524 START MOTION ---------
2021-11-05 14:41:10.387 STOP MOTION ----------
2021-11-05 14:41:41.574 START MOTION ---------
2021-11-05 14:41:46.570 STOP MOTION ----------
2021-11-05 14:42:35.345 START MOTION ---------
2021-11-05 14:42:40.146 STOP MOTION ----------
2021-11-05 14:44:17.489 START MOTION ---------
2021-11-05 14:44:23.624 STOP MOTION ----------
2021-11-05 14:44:52.563 START MOTION ---------
2021-11-05 14:45:05.299 STOP MOTION ----------
2021-11-05 14:45:37.297 START MOTION ---------
2021-11-05 14:45:39.278 STOP MOTION ----------
2021-11-05 14:49:02.209 START MOTION ---------
2021-11-05 14:49:10.133 STOP MOTION ----------
2021-11-05 14:49:19.424 START MOTION ---------
2021-11-05 14:49:22.402 STOP MOTION ----------
2021-11-05 14:50:03.517 START MOTION ---------
2021-11-05 14:50:07.135 STOP MOTION ----------
2021-11-05 14:50:44.570 START MOTION ---------
2021-11-05 14:50:49.427 STOP MOTION ----------
2021-11-05 14:52:45.477 START MOTION ---------
2021-11-05 14:52:56.468 STOP MOTION ----------
2021-11-05 14:57:29.319 START MOTION ---------
2021-11-05 14:57:34.618 STOP MOTION ----------
2021-11-05 15:00:32.296 START MOTION ---------
2021-11-05 15:01:02.979 STOP MOTION ----------
2021-11-05 15:01:43.480 START MOTION ---------
2021-11-05 15:01:48.433 STOP MOTION ----------
2021-11-05 15:02:49.544 START MOTION ---------
2021-11-05 15:02:53.191 STOP MOTION ----------
2021-11-05 15:05:45.58 START MOTION ---------
2021-11-05 15:05:49.104 STOP MOTION ----------
2021-11-05 15:06:04.6 START MOTION ---------
2021-11-05 15:06:10.84 STOP MOTION ----------
2021-11-05 15:07:03.525 START MOTION ---------
2021-11-05 15:07:13.261 STOP MOTION ----------
2021-11-05 15:07:32.110 START MOTION ---------
2021-11-05 15:08:33.877 STOP MOTION ----------
2021-11-05 15:08:44.129 START MOTION ---------
2021-11-05 15:08:48.382 STOP MOTION ----------
2021-11-05 15:08:51.834 START MOTION ---------
2021-11-05 15:09:06.196 STOP MOTION ----------
2021-11-05 15:09:23.242 START MOTION ---------
2021-11-05 15:09:36.101 STOP MOTION ----------
2021-11-05 15:10:20.405 START MOTION ---------
2021-11-05 15:10:23.280 STOP MOTION ----------
2021-11-05 15:11:21.398 START MOTION ---------
2021-11-05 15:11:25.958 STOP MOTION ----------
2021-11-05 15:20:13.169 START MOTION ---------
2021-11-05 15:20:15.209 STOP MOTION ----------
2021-11-05 15:20:17.742 START MOTION ---------
2021-11-05 15:20:45.227 STOP MOTION ----------
2021-11-05 15:20:58.844 START MOTION ---------
2021-11-05 15:21:12.232 STOP MOTION ----------
2021-11-05 15:21:21.106 START MOTION ---------
2021-11-05 15:21:24.849 STOP MOTION ----------
2021-11-05 15:21:33.274 START MOTION ---------
2021-11-05 15:22:33.95 STOP MOTION ----------
2021-11-05 15:22:48.16 START MOTION ---------
2021-11-05 15:23:05.41 STOP MOTION ----------
2021-11-05 15:24:16.3 START MOTION ---------
2021-11-05 15:24:23.91 STOP MOTION ----------
2021-11-05 15:24:56.157 START MOTION ---------
2021-11-05 15:25:00.383 STOP MOTION ----------
2021-11-05 15:25:03.3 START MOTION ---------
2021-11-05 15:25:13.755 STOP MOTION ----------
2021-11-05 15:25:46.910 START MOTION ---------
2021-11-05 15:25:55.908 STOP MOTION ----------
2021-11-05 15:26:24.24 START MOTION ---------
2021-11-05 15:26:28.137 STOP MOTION ----------
2021-11-05 15:27:08.261 START MOTION ---------
2021-11-05 15:27:21.96 STOP MOTION ----------
2021-11-05 15:30:13.742 START MOTION ---------
2021-11-05 15:30:51.146 STOP MOTION ----------
2021-11-05 15:31:12.98 START MOTION ---------
2021-11-05 15:31:27.236 STOP MOTION ----------
2021-11-05 15:31:56.937 START MOTION ---------
2021-11-05 15:32:05.927 STOP MOTION ----------
2021-11-05 15:33:53.69 START MOTION ---------
2021-11-05 15:34:00.996 STOP MOTION ----------
2021-11-05 15:34:27.913 START MOTION ---------
2021-11-05 15:34:30.932 STOP MOTION ----------
2021-11-05 15:34:49.956 START MOTION ---------
2021-11-05 15:34:58.699 STOP MOTION ----------
2021-11-05 15:35:40.191 START MOTION ---------
2021-11-05 15:35:44.269 STOP MOTION ----------
2021-11-05 15:36:05.81 START MOTION ---------
2021-11-05 15:36:20.234 STOP MOTION ----------
2021-11-05 15:36:47.773 START MOTION ---------
2021-11-05 15:36:52.893 STOP MOTION ----------
2021-11-05 15:40:54.747 START MOTION ---------
2021-11-05 15:40:58.44 STOP MOTION ----------
2021-11-05 15:46:28.710 START MOTION ---------
2021-11-05 15:46:41.620 STOP MOTION ----------
2021-11-05 15:47:11.111 START MOTION ---------
2021-11-05 15:47:16.463 STOP MOTION ----------
2021-11-05 15:48:14.561 START MOTION ---------
2021-11-05 15:48:16.491 STOP MOTION ----------
2021-11-05 15:50:50.660 START MOTION ---------
2021-11-05 15:50:57.794 STOP MOTION ----------
2021-11-05 15:57:21.594 START MOTION ---------
2021-11-05 15:57:31.766 STOP MOTION ----------
2021-11-05 16:12:42.557 START MOTION ---------
2021-11-05 16:12:44.448 STOP MOTION ----------
2021-11-05 16:18:47.596 START MOTION ---------
2021-11-05 16:18:52.873 STOP MOTION ----------
2021-11-05 16:21:31.689 START MOTION ---------
2021-11-05 16:21:39.717 STOP MOTION ----------
2021-11-05 16:22:20.638 START MOTION ---------
2021-11-05 16:22:27.899 STOP MOTION ----------
2021-11-05 16:27:04.647 START MOTION ---------
2021-11-05 16:27:12.530 STOP MOTION ----------
2021-11-05 16:27:20.611 START MOTION ---------
2021-11-05 16:27:50.749 STOP MOTION ----------
2021-11-05 16:28:05.511 START MOTION ---------
2021-11-05 16:28:12.643 STOP MOTION ----------
2021-11-05 16:29:11.344 START MOTION ---------
2021-11-05 16:29:17.195 STOP MOTION ----------
2021-11-05 16:29:44.489 START MOTION ---------
2021-11-05 16:29:51.429 STOP MOTION ----------
2021-11-05 16:39:36.158 START MOTION ---------
2021-11-05 16:39:49.760 STOP MOTION ----------
2021-11-05 16:49:05.537 START MOTION ---------
2021-11-05 16:49:10.142 STOP MOTION ----------
2021-11-05 16:51:16.286 START MOTION ---------
2021-11-05 16:51:39.261 STOP MOTION ----------
2021-11-05 16:52:19.504 START MOTION ---------
2021-11-05 16:52:25.19 STOP MOTION ----------
2021-11-05 16:57:32.593 START MOTION ---------
2021-11-05 16:57:47.297 STOP MOTION ----------
2021-11-05 17:00:08.245 START MOTION ---------
2021-11-05 17:00:27.940 STOP MOTION ----------
2021-11-05 17:00:36.501 START MOTION ---------
2021-11-05 17:00:51.155 STOP MOTION ----------
2021-11-05 17:01:53.297 START MOTION ---------
2021-11-05 17:02:03.33 STOP MOTION ----------
2021-11-05 17:14:02.712 START MOTION ---------
2021-11-05 17:14:10.304 STOP MOTION ----------
2021-11-05 17:16:56.834 START MOTION ---------
2021-11-05 17:17:02.509 STOP MOTION ----------
2021-11-05 17:20:56.479 START MOTION ---------
2021-11-05 17:21:03.736 STOP MOTION ----------
2021-11-05 17:35:08.430 START MOTION ---------
2021-11-05 17:35:50.653 STOP MOTION ----------
2021-11-05 17:35:57.145 START MOTION ---------
2021-11-05 17:37:43.365 STOP MOTION ----------
2021-11-05 17:37:47.906 START MOTION ---------
2021-11-05 17:38:31.177 STOP MOTION ----------
2021-11-05 17:39:42.370 START MOTION ---------
2021-11-05 17:40:05.105 STOP MOTION ----------
2021-11-05 17:44:44.581 START MOTION ---------
2021-11-05 17:44:48.995 STOP MOTION ----------
2021-11-05 17:45:46.19 START MOTION ---------
2021-11-05 17:45:57.535 STOP MOTION ----------
2021-11-05 17:47:30.722 START MOTION ---------
2021-11-05 17:48:35.741 STOP MOTION ----------
2021-11-05 18:00:40.835 START MOTION ---------
2021-11-05 18:01:01.955 STOP MOTION ----------
2021-11-05 18:01:13.0 START MOTION ---------
2021-11-05 18:01:26.508 STOP MOTION ----------
2021-11-05 18:08:05.410 START MOTION ---------
2021-11-05 18:08:33.714 STOP MOTION ----------
2021-11-05 18:26:47.167 START MOTION ---------
2021-11-05 18:27:26.750 STOP MOTION ----------
2021-11-05 18:32:04.411 START MOTION ---------
2021-11-05 18:33:36.955 STOP MOTION ----------
2021-11-05 18:34:22.102 START MOTION ---------
2021-11-05 18:34:44.107 STOP MOTION ----------
2021-11-05 18:38:33.319 START MOTION ---------
2021-11-05 18:38:41.389 STOP MOTION ----------
2021-11-05 18:39:21.774 START MOTION ---------
2021-11-05 18:39:25.458 STOP MOTION ----------
2021-11-05 18:50:17.863 START MOTION ---------
2021-11-05 18:50:43.696 STOP MOTION ----------
2021-11-05 18:52:04.544 START MOTION ---------
2021-11-05 18:52:08.693 STOP MOTION ----------
2021-11-05 18:56:55.126 START MOTION ---------
2021-11-05 18:58:03.925 STOP MOTION ----------
2021-11-05 18:58:32.250 START MOTION ---------
2021-11-05 18:58:44.960 STOP MOTION ----------
2021-11-05 19:04:08.820 START MOTION ---------
2021-11-05 19:04:25.127 STOP MOTION ----------
2021-11-05 19:04:30.247 START MOTION ---------
2021-11-05 19:05:32.178 STOP MOTION ----------
2021-11-05 19:10:49.816 START MOTION ---------
2021-11-05 19:11:09.645 STOP MOTION ----------
2021-11-05 19:11:19.406 START MOTION ---------
2021-11-05 19:11:22.984 STOP MOTION ----------
2021-11-05 19:11:39.635 START MOTION ---------
2021-11-05 19:11:56.630 STOP MOTION ----------
2021-11-05 19:17:22.788 START MOTION ---------
2021-11-05 19:17:44.223 STOP MOTION ----------
2021-11-05 19:19:07.105 START MOTION ---------
2021-11-05 19:19:55.758 STOP MOTION ----------
2021-11-05 19:23:07.557 START MOTION ---------
2021-11-05 19:23:18.270 STOP MOTION ----------
2021-11-05 19:54:39.672 START MOTION ---------
2021-11-05 19:54:49.964 STOP MOTION ----------
2021-11-05 19:56:57.399 START MOTION ---------
2021-11-05 19:57:03.464 STOP MOTION ----------
2021-11-05 19:59:28.196 START MOTION ---------
2021-11-05 19:59:32.469 STOP MOTION ----------
2021-11-05 20:05:02.189 START MOTION ---------
2021-11-05 20:05:35.192 STOP MOTION ----------
2021-11-05 20:05:39.991 START MOTION ---------
2021-11-05 20:06:07.140 STOP MOTION ----------
2021-11-05 22:05:51.997 START MOTION ---------
2021-11-05 22:06:05.25 STOP MOTION ----------
2021-11-05 22:06:20.559 START MOTION ---------
2021-11-05 22:06:48.538 STOP MOTION ----------
2021-11-05 22:16:08.150 START MOTION ---------
2021-11-05 22:16:38.210 STOP MOTION ----------
2021-11-05 22:17:31.606 START MOTION ---------
2021-11-05 22:17:35.401 STOP MOTION ----------
2021-11-05 22:45:23.461 START MOTION ---------
2021-11-05 22:46:17.691 STOP MOTION ----------
2021-11-05 22:46:28.443 START MOTION ---------
2021-11-05 22:46:59.868 STOP MOTION ----------
2021-11-05 23:01:12.475 START MOTION ---------
2021-11-05 23:01:21.497 STOP MOTION ----------
2021-11-05 23:26:08.224 START MOTION ---------
2021-11-05 23:26:40.707 STOP MOTION ----------
2021-11-06 00:18:21.205 START MOTION ---------
2021-11-06 00:18:28.391 STOP MOTION ----------
2021-11-06 01:13:22.940 START MOTION ---------
2021-11-06 01:13:33.796 STOP MOTION ----------
2021-11-06 03:40:53.838 START MOTION ---------
2021-11-06 03:40:57.200 STOP MOTION ----------
2021-11-06 07:08:00.544 START MOTION ---------
2021-11-06 07:08:10.954 STOP MOTION ----------
2021-11-06 07:11:23.842 START MOTION ---------
2021-11-06 07:11:26.318 STOP MOTION ----------
2021-11-06 07:26:18.379 START MOTION ---------
2021-11-06 07:26:25.626 STOP MOTION ----------
2021-11-06 07:27:16.647 START MOTION ---------
2021-11-06 07:27:22.175 STOP MOTION ----------
2021-11-06 08:01:29.385 START MOTION ---------
2021-11-06 08:01:33.303 STOP MOTION ----------
2021-11-06 08:02:11.477 START MOTION ---------
2021-11-06 08:02:18.289 STOP MOTION ----------
2021-11-06 08:10:24.70 START MOTION ---------
2021-11-06 08:10:34.242 STOP MOTION ----------
2021-11-06 08:25:07.773 START MOTION ---------
2021-11-06 08:25:12.130 STOP MOTION ----------
2021-11-06 08:37:04.667 START MOTION ---------
2021-11-06 08:37:10.153 STOP MOTION ----------
2021-11-06 08:37:19.519 START MOTION ---------
2021-11-06 08:37:32.523 STOP MOTION ----------
2021-11-06 08:37:42.936 START MOTION ---------
2021-11-06 08:37:51.924 STOP MOTION ----------
2021-11-06 08:38:14.522 START MOTION ---------
2021-11-06 08:38:31.59 STOP MOTION ----------
2021-11-06 09:39:14.197 START MOTION ---------
2021-11-06 09:39:22.597 STOP MOTION ----------
2021-11-06 09:49:41.949 START MOTION ---------
2021-11-06 09:49:44.963 STOP MOTION ----------
2021-11-06 09:50:55.40 START MOTION ---------
2021-11-06 09:51:00.5 STOP MOTION ----------
2021-11-06 10:01:16.310 START MOTION ---------
2021-11-06 10:01:22.186 STOP MOTION ----------
2021-11-06 10:23:52.66 START MOTION ---------
2021-11-06 10:24:05.631 STOP MOTION ----------
2021-11-06 10:29:14.126 START MOTION ---------
2021-11-06 10:29:21.24 STOP MOTION ----------
2021-11-06 10:46:33.775 START MOTION ---------
2021-11-06 10:46:36.7 STOP MOTION ----------
2021-11-06 10:46:48.6 START MOTION ---------
2021-11-06 10:46:58.319 STOP MOTION ----------
2021-11-06 10:47:02.814 START MOTION ---------
2021-11-06 10:47:16.721 STOP MOTION ----------
2021-11-06 10:48:13.942 START MOTION ---------
2021-11-06 10:48:27.673 STOP MOTION ----------
2021-11-06 10:48:34.707 START MOTION ---------
2021-11-06 10:48:41.637 STOP MOTION ----------
2021-11-06 10:48:55.791 START MOTION ---------
2021-11-06 10:49:05.299 STOP MOTION ----------
2021-11-06 10:54:38.726 START MOTION ---------
2021-11-06 10:54:44.697 STOP MOTION ----------
2021-11-06 10:59:48.298 START MOTION ---------
2021-11-06 10:59:52.688 STOP MOTION ----------
2021-11-06 11:03:23.507 START MOTION ---------
2021-11-06 11:03:30.399 STOP MOTION ----------
2021-11-06 11:05:46.417 START MOTION ---------
2021-11-06 11:05:54.665 STOP MOTION ----------
2021-11-06 11:08:02.635 START MOTION ---------
2021-11-06 11:08:13.111 STOP MOTION ----------
2021-11-06 11:10:24.214 START MOTION ---------
2021-11-06 11:10:28.644 STOP MOTION ----------
2021-11-06 11:10:32.496 START MOTION ---------
2021-11-06 11:10:46.401 STOP MOTION ----------
2021-11-06 11:11:09.603 START MOTION ---------
2021-11-06 11:11:21.735 STOP MOTION ----------
2021-11-06 11:16:50.320 START MOTION ---------
2021-11-06 11:16:55.315 STOP MOTION ----------
2021-11-06 11:17:40.191 START MOTION ---------
2021-11-06 11:17:51.328 STOP MOTION ----------
2021-11-06 11:20:58.352 START MOTION ---------
2021-11-06 11:21:02.527 STOP MOTION ----------
2021-11-06 11:22:17.678 START MOTION ---------
2021-11-06 11:22:23.355 STOP MOTION ----------
2021-11-06 11:35:30.94 START MOTION ---------
2021-11-06 11:35:46.562 STOP MOTION ----------
2021-11-06 11:36:18.462 START MOTION ---------
2021-11-06 11:36:23.967 STOP MOTION ----------
2021-11-06 11:38:00.406 START MOTION ---------
2021-11-06 11:38:04.341 STOP MOTION ----------
2021-11-06 11:41:00.477 START MOTION ---------
2021-11-06 11:41:06.333 STOP MOTION ----------
2021-11-06 11:41:42.418 START MOTION ---------
2021-11-06 11:41:47.284 STOP MOTION ----------
2021-11-06 11:45:23.353 START MOTION ---------
2021-11-06 11:45:38.347 STOP MOTION ----------
2021-11-06 11:45:42.193 START MOTION ---------
2021-11-06 11:45:50.210 STOP MOTION ----------
2021-11-06 11:45:52.999 START MOTION ---------
2021-11-06 11:46:07.183 STOP MOTION ----------
2021-11-06 11:47:55.88 START MOTION ---------
2021-11-06 11:48:01.999 STOP MOTION ----------
2021-11-06 11:56:17.491 START MOTION ---------
2021-11-06 11:56:31.499 STOP MOTION ----------
2021-11-06 11:56:50.248 START MOTION ---------
2021-11-06 11:57:05.955 STOP MOTION ----------
2021-11-06 12:02:07.951 START MOTION ---------
2021-11-06 12:02:14.962 STOP MOTION ----------
2021-11-06 12:16:26.920 START MOTION ---------
2021-11-06 12:16:30.168 STOP MOTION ----------
2021-11-06 12:24:08.650 START MOTION ---------
2021-11-06 12:24:11.100 STOP MOTION ----------
2021-11-06 12:27:33.103 START MOTION ---------
2021-11-06 12:27:36.800 STOP MOTION ----------
2021-11-06 12:28:07.12 START MOTION ---------
2021-11-06 12:28:26.878 STOP MOTION ----------
2021-11-06 12:33:10.535 START MOTION ---------
2021-11-06 12:33:14.836 STOP MOTION ----------
2021-11-06 12:57:44.734 START MOTION ---------
2021-11-06 12:58:42.714 STOP MOTION ----------
2021-11-06 13:01:29.512 START MOTION ---------
2021-11-06 13:01:34.590 STOP MOTION ----------
restart motion process
