Log saved to: /home/pi/2021-11-10_03h00m06s.log
Device manager connected to 192.168.1.10
Camera time set to: 2021-11-10 03:00:07
Device manager disconnected
Path to clean from old video files: /home/pi
2021-11-10 11:43:21.605 STOP MOTION ----------
2021-11-10 11:43:26.565 START MOTION ---------
2021-11-10 11:43:28.723 STOP MOTION ----------
2021-11-10 11:46:21.301 START MOTION ---------
2021-11-10 11:46:25.689 STOP MOTION ----------
2021-11-10 11:46:32.184 START MOTION ---------
2021-11-10 11:46:36.217 STOP MOTION ----------
2021-11-10 11:47:11.245 START MOTION ---------
2021-11-10 11:47:27.119 STOP MOTION ----------
2021-11-10 11:52:29.645 START MOTION ---------
2021-11-10 11:52:35.283 STOP MOTION ----------
2021-11-10 11:52:46.642 START MOTION ---------
2021-11-10 11:52:48.470 STOP MOTION ----------
2021-11-10 11:58:21.609 START MOTION ---------
2021-11-10 11:58:28.509 STOP MOTION ----------
2021-11-10 12:00:17.219 START MOTION ---------
2021-11-10 12:00:36.331 STOP MOTION ----------
2021-11-10 12:00:52.955 START MOTION ---------
2021-11-10 12:01:07.565 STOP MOTION ----------
2021-11-10 12:01:44.113 START MOTION ---------
2021-11-10 12:01:55.70 STOP MOTION ----------
2021-11-10 12:11:13.474 START MOTION ---------
2021-11-10 12:11:26.103 STOP MOTION ----------
2021-11-10 12:33:52.346 START MOTION ---------
2021-11-10 12:33:57.24 STOP MOTION ----------
2021-11-10 12:35:07.768 START MOTION ---------
2021-11-10 12:35:14.138 STOP MOTION ----------
2021-11-10 13:05:45.911 START MOTION ---------
2021-11-10 13:05:48.790 STOP MOTION ----------
2021-11-10 13:27:24.357 START MOTION ---------
2021-11-10 13:27:33.395 STOP MOTION ----------
2021-11-10 13:28:15.853 START MOTION ---------
2021-11-10 13:28:26.627 STOP MOTION ----------
2021-11-10 13:36:16.636 START MOTION ---------
2021-11-10 13:36:19.465 STOP MOTION ----------
2021-11-10 13:39:20.569 START MOTION ---------
2021-11-10 13:39:27.687 STOP MOTION ----------
2021-11-10 13:50:32.525 START MOTION ---------
2021-11-10 13:50:36.228 STOP MOTION ----------
2021-11-10 13:54:27.509 START MOTION ---------
2021-11-10 13:54:30.67 STOP MOTION ----------
