Log saved to: /home/pi/2021-11-07_03h00m07s.log
Device manager connected to 192.168.1.10
Camera time set to: 2021-11-07 03:00:07
Device manager disconnected
Path to clean from old video files: /home/pi
2021-11-07 03:00:09.898 Open video input: rtsp://admin:@192.168.1.10
2021-11-07 03:00:10.899 Send SIGUSR1 to PID 4598 to terminate video processing
2021-11-07 03:00:12.340 Queue of size: 34 discharged at 3.92303 sec
2021-11-07 07:42:46.455 START MOTION ---------
2021-11-07 07:42:50.376 STOP MOTION ----------
2021-11-07 09:01:26.542 START MOTION ---------
2021-11-07 09:01:30.539 STOP MOTION ----------
2021-11-07 09:09:46.499 START MOTION ---------
2021-11-07 09:09:57.549 STOP MOTION ----------
2021-11-07 09:21:32.325 START MOTION ---------
2021-11-07 09:21:36.279 STOP MOTION ----------
2021-11-07 09:25:01.613 START MOTION ---------
2021-11-07 09:25:14.387 STOP MOTION ----------
2021-11-07 09:26:21.169 START MOTION ---------
2021-11-07 09:26:38.969 STOP MOTION ----------
2021-11-07 09:41:15.34 START MOTION ---------
2021-11-07 09:41:27.300 STOP MOTION ----------
2021-11-07 10:05:10.86 START MOTION ---------
2021-11-07 10:05:15.730 STOP MOTION ----------
2021-11-07 10:09:59.206 START MOTION ---------
2021-11-07 10:10:19.647 STOP MOTION ----------
2021-11-07 10:12:23.861 START MOTION ---------
2021-11-07 10:12:49.64 STOP MOTION ----------
2021-11-07 10:14:40.163 START MOTION ---------
2021-11-07 10:14:47.540 STOP MOTION ----------
2021-11-07 10:15:43.36 START MOTION ---------
2021-11-07 10:15:47.835 STOP MOTION ----------
2021-11-07 10:16:18.759 START MOTION ---------
2021-11-07 10:16:52.753 STOP MOTION ----------
2021-11-07 10:16:59.142 START MOTION ---------
2021-11-07 10:17:23.37 STOP MOTION ----------
2021-11-07 10:17:48.933 START MOTION ---------
2021-11-07 10:18:05.617 STOP MOTION ----------
2021-11-07 10:18:28.158 START MOTION ---------
2021-11-07 10:18:32.125 STOP MOTION ----------
2021-11-07 10:18:34.67 START MOTION ---------
2021-11-07 10:18:44.120 STOP MOTION ----------
2021-11-07 10:22:21.525 START MOTION ---------
2021-11-07 10:22:24.937 STOP MOTION ----------
2021-11-07 10:26:17.656 START MOTION ---------
2021-11-07 10:26:22.873 STOP MOTION ----------
2021-11-07 10:36:12.658 START MOTION ---------
2021-11-07 10:36:18.508 STOP MOTION ----------
2021-11-07 10:39:05.820 START MOTION ---------
2021-11-07 10:39:10.547 STOP MOTION ----------
2021-11-07 10:50:04.886 START MOTION ---------
